zpid_index,zpid,homeStatus,resoFacts.homeType,yearBuilt,bedrooms,bathrooms,resoFacts.architecturalStyle,datePosted,pageViewCount,favoriteCount,longitude,latitude,address.state,address.zipcode,address.city,address.streetAddress,price,zestimate,rentZestimate,livingArea,resoFacts.pricePerSquareFoot,resoFacts.lotSize,annualHomeownersInsurance,propertyTaxRate,resoFacts.taxAnnualAmount,dateSold,resoFacts.heating,resoFacts.hasCooling,resoFacts.garageSpaces,resoFacts.hasGarage,resoFacts.basement,resoFacts.hasPrivatePool,resoFacts.hasFireplace,resoFacts.hasSpa,listed_by.business_name,yearsOld
25544196,25544196,FOR_SALE,SingleFamily,1989,3,3,0,2022-07-14,4390,114,-117.71384,33.58323,CA,92656,Aliso Viejo,10 Dominguez St,855000,855000,3295,1464,584.0,"3,300 sqft",3591,0.69,0.0,0,0,True,2,True,0,False,True,False,"Vylla Home, Inc.",33
25548989,25548989,FOR_SALE,SingleFamily,1996,4,3,Mediterranean,2022-09-08,291,12,-117.74103,33.57872,CA,92656,Aliso Viejo,55 Elderwood,1465000,1420900,4200,2022,725.0,"4,346 sqft",6153,0.69,0.0,2005-07-07,"['Central', 'Forced Air']",True,3,True,0,True,True,True,Berkshire Hathaway HomeService,26
25542332,25542332,FOR_SALE,SingleFamily,1971,3,2,Spanish,2022-07-15,6416,89,-117.72048,33.600754,CA,92656,Aliso Viejo,23455 El Reposa,679900,680656,3300,1240,548.0,"2,447 sqft",2856,0.69,0.0,2010-11-23,['Central'],True,2,True,0,False,False,False,Berkshire Hathaway HomeService,51
54978987,54978987,FOR_SALE,SingleFamily,2000,3,3,0,2022-07-15,6009,186,-117.73215,33.572502,CA,92656,Aliso Viejo,41 Bluff Cove Dr,950000,950000,3399,1604,592.0,"2,090 sqft",3990,0.69,0.0,2013-03-14,0,True,2,True,0,False,True,False,eXp Realty of California Inc,22
25772132,25772132,FOR_SALE,SingleFamily,1997,4,3,0,2022-08-17,3312,74,-117.734406,33.57318,CA,92656,Aliso Viejo,93 Cape Victoria,1099000,1099002,3850,1768,622.0,0,4616,0.69,0.0,2012-10-16,['Forced Air'],True,2,True,0,False,True,False,MB Realty,25
25542806,25542806,FOR_SALE,SingleFamily,1991,3,3,Traditional,2022-07-16,3013,91,-117.71721,33.594788,CA,92656,Aliso Viejo,6 Spicewood,999888,999200,3666,1659,603.0,"4,000 sqft",4200,0.69,0.0,2003-05-14,['Central'],True,2,True,0,False,True,True,Westwind Realty,31
25772079,25772079,FOR_SALE,SingleFamily,1995,3,3,0,2022-08-08,2601,94,-117.73479,33.573547,CA,92656,Aliso Viejo,87 Cape Victoria,980000,980002,3369,1358,722.0,0,4116,0.69,0.0,2006-06-07,"['Forced Air', 'Natural Gas']",True,2,True,0,False,True,False,MB Realty,27
25543251,25543251,FOR_SALE,SingleFamily,1994,4,3,Traditional,2022-08-18,3420,83,-117.719154,33.589447,CA,92656,Aliso Viejo,3 Larkmead,1100000,1100400,4200,2165,508.0,"4,185 sqft",4620,0.69,0.0,1998-11-18,['Central'],True,2,True,0,False,True,False,Manna Realty,28
25542744,25542744,FOR_SALE,SingleFamily,1989,3,2,0,2022-09-03,829,21,-117.718475,33.59508,CA,92656,Aliso Viejo,1 Windflower,985000,985000,3449,1403,702.0,"4,000 sqft",4137,0.69,0.0,0,['Fireplace(s)'],True,2,True,0,False,True,False,"Kasumi Realty, Inc.",33
51656510,51656510,FOR_SALE,SingleFamily,2000,4,3,0,2022-09-01,1366,33,-117.73813,33.56805,CA,92656,Aliso Viejo,3 Country Walk Dr,1550000,1550000,4464,2269,683.0,"4,000 sqft",6510,0.69,0.0,2000-09-13,"['Baseboard', 'Central', 'Fireplace(s)', 'Forced Air', 'Solar']",True,3,True,0,False,True,False,Presidential RE Services,22
51656471,51656471,FOR_SALE,SingleFamily,2000,4,4,0,2022-06-29,2720,32,-117.73944,33.566586,CA,92656,Aliso Viejo,30 Remington Ln,1948800,1904700,7352,3663,532.0,"8,795 sqft",8185,0.69,0.0,2000-04-12,"['Central', 'Forced Air']",True,3,True,0,False,True,False,Keller Williams Realty,22
25544630,25544630,FOR_SALE,SingleFamily,1991,3,3,Mediterranean,2022-06-21,2128,66,-117.73253,33.591053,CA,92656,Aliso Viejo,26 Ridgecrest,1275000,1251600,3984,1788,713.0,"5,120 sqft",5355,0.69,0.0,2008-06-25,['Central'],True,2,True,0,False,True,True,Berkshire Hathaway HomeService,31
25549151,25549151,FOR_SALE,SingleFamily,1996,4,3,0,2022-05-11,2797,60,-117.74641,33.58567,CA,92656,Aliso Viejo,36 Hollyleaf,1499900,1470800,4725,2357,636.0,"4,187 sqft",6300,0.69,0.0,2004-03-11,"['Central', 'Forced Air', 'Natural Gas']",True,3,True,0,False,True,False,First Team Real Estate,26
51674705,51674705,FOR_SALE,SingleFamily,1999,3,3,Cape Cod,2022-06-15,1397,29,-117.73215,33.572506,CA,92656,Aliso Viejo,39 Picket Ln,1025000,1013200,3399,1604,639.0,0,4305,0.69,0.0,2013-09-17,"['Central', 'Electric', 'Fireplace(s)', 'Natural Gas']",True,2,True,0,False,True,True,"Pellego, Inc.",23
25224700,25224700,FOR_SALE,SingleFamily,1972,4,3,Traditional,2022-08-18,4926,116,-117.95743,33.819206,CA,92804,Anaheim,2151 W Wellington Cir,649000,649700,3200,1525,426.0,"1,850 sqft",2726,0.69,0.0,2017-08-16,"['Central', 'Forced Air']",True,2,True,0,False,False,False,First Team Real Estate,50
25243717,25243717,FOR_SALE,SingleFamily,1956,3,2,0,2022-09-04,2546,185,-117.99881,33.827103,CA,92804,Anaheim,3108 W Olinda Ln,760000,760800,3200,1253,607.0,"7,235 sqft",3192,0.69,0.0,2022-08-12,['Natural Gas'],True,2,True,0,0,True,False,Opendoor Brokerage Inc.,66
25219174,25219174,FOR_SALE,SingleFamily,1959,4,3,0,2022-07-15,8056,174,-117.97965,33.82979,CA,92804,Anaheim,2674 W Sereno Pl,800000,801001,3705,2017,397.0,"7,200 sqft",3360,0.69,0.0,2009-02-27,"['Central', 'Natural Gas']",True,2,True,0,True,False,False,Prime Property Associates,63
25389717,25389717,FOR_SALE,SingleFamily,1975,3,2,Traditional,2022-09-07,348,6,-117.795425,33.86849,CA,92807,Anaheim,1987 N Sunwood Ln,799000,800000,3200,1232,649.0,"6,360 sqft",3356,0.69,0.0,0,"['Central', 'Forced Air', 'Natural Gas']",True,2,True,0,False,False,False,Keller Williams Realty,47
25127612,25127612,FOR_SALE,SingleFamily,1952,4,2,Ranch,2022-06-01,8037,161,-117.8998,33.845684,CA,92805,Anaheim,628 N Buttonwood St,745000,740600,3463,1763,423.0,"6,180 sqft",3129,0.69,0.0,0,['Central'],True,2,True,0,False,True,False,First Team Real Estate,70
